nombre,codigo_chilemat,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"PC. ALVEOLAR TRANSP. 1,05*2,00 4MM.",PA104111,,11436.302959999999,,,unidad,unidad,1.0,0,General,Otros,,,,
"POLICARBONATO ALVEOLAR 2,10X2,90X4MM TRANSPARENTE",PA214101,,35316.39276,,,unidad,unidad,1.0,0,General,Otros,,,,
"PERFIL POLIC. H 2,90X4/6 MM. TRA",PA991141,,5626.49632,,,unidad,unidad,1.0,0,Aceros y Techumbre,Planchas,,,,
"PERLFIL H CLIP  2,90 MTS TRANSPARENTE",pa991185,,10354.97488,,,unidad,unidad,1.0,0,General,Otros,,,,
"PERFIL POLIC. U 2,10X4/6 MM. TRA",PA992141,,1796.62788,,,unidad,unidad,1.0,0,Aceros y Techumbre,Planchas,,,,
PALA MANGO METAL 503 FWYY,PAA503MY,,8897.448,,,unidad,unidad,1.0,0,General,Otros,,,,
TACO NYLON + CLAVO/TORNILLON 8 X 80 Z FISC (50 UNIDADES),PAAK-050,,3840.56104,,,caja,caja,1.0,0,Ferreteria,Fijaciones,,,,
TACO NYLON + CLAVO/TORNILLON 8 X 100 Z FISC (50 UNIDADES),PAAL-050,,4488.19124,,,caja,caja,1.0,0,Ferreteria,Fijaciones,,,,
PARCHE CAMARA 54X32MM UYUSTOOLS,PAC54U,,1058.0352799999998,,,set,set,1.0,0,General,Otros,,,,
PALETA ODIS K1S,PAL0000626,,293.69007999999997,,,un,un,1.0,0,General,Otros,,,,
PALETA ODIS K01,PAL0000627,,293.69007999999997,,,un,un,1.0,0,General,Otros,,,,
PALETA ODIS KPL2,PAL0000628,,293.69007999999997,,,un,un,1.0,0,General,Otros,,,,
PALETA ODIS K7A,PAL0000629,,293.69007999999997,,,un,un,1.0,0,General,Otros,,,,
PALETA ODIS KYA7,PAL0000829,,376.10844000000003,,,un,un,1.0,0,General,Otros,,,,
PALLET,PALL001,,8032.0,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,,
ESCALA TIJERA F. VIDRIO 05 PELD - 1.52 MT 105 KG ELECTRICA,PAT-05,,78181.48,,,UNIDAD,UNIDAD,1.0,0,Construccion,Materiales,,,,
CABLES PARA PUENTE 200 AMPERES,PBCA12001,,5773.0,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,,
CABLES PARA PUENTE 600 AMPERES - 3MT,PBCA16008,,12539.96,,,set,set,1.0,0,Electricidad,Cables y Accesorios,,,,
"SERRUCHO P/PISO FLOTANTE 20""",PC-20-LAM,,18963.552,,,unidad,unidad,1.0,0,General,Otros,,,,
POLICARB O/Z 81*300 TRANSP STD,PC101301,,11124.4204,,,unidad,unidad,1.0,0,General,Otros,,,,
POLICARBONATO ONDA ZINC 81*366 TRANSPARENTE STANDARD,PC101501,,13567.935519999999,,,unidad,unidad,1.0,0,Aceros y Techumbre,Planchas,,,,
POLICARB O/Z 81*366 BRONCE STD,PC101505,,13567.935519999999,,,unidad,unidad,1.0,0,General,Otros,,,,
POLERON PIQUE AFRANELADO TALLA L,PCPA-L,,9487.8,,,unidad,unidad,1.0,0,General,Otros,,,,
POLERON PIQUE AFRANELADO TALLA XXXL,PCPA-XXXL,,9487.8,,,unidad,unidad,1.0,0,General,Otros,,,,
TARASCO ROJO MATE 33X33,PCT-13-0244,,10403.75924,,,m2,m2,1.0,0,General,Otros,,,,
PIEDRA SET 5PCS PARA TALADRO GRANDE,PDB501,,1483.5505600000001,,,set,set,1.0,0,Herramientas,Discos y Corte,,,,
"PELACABLE 7"" UYUSTOOLS",PEL07U,,8088.58544,,,un,un,1.0,0,Electricidad,Cables y Accesorios,,,,
PELLET CH 15 KG,PELSJ15001,,4254.952,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,,
PERILLON D-100 BRONCE PULIDO,PER0000001,,5927.8168,,,un,un,1.0,0,General,Otros,,,,
