nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"LPLTO.SS 100X50 (ESP=0,5) C/DESAG. (B+S) SOBREP. ECO - P/MM., SEC.IZQ.",190502504-T,17225.63,23254.60,20670.75,unid.,unid.,1.0,100,General,Otros,,,,
"LPLTO.SS 120X50 (ESP=0,5) C/DES. (2B+S) SOBREP. ECO - P/MMDO, SEC.DER.",191482503-T,23117.10,31208.08,27740.52,unid.,unid.,1.0,100,General,Otros,,,,
"LPLTO.SS 120X50 (ESP=0,5) C/DES. (2B+S) SOBREP. ECO - P/MMDO, SEC.IZQ.",191482504-T,23117.10,31208.08,27740.52,unid.,unid.,1.0,100,General,Otros,,,,
CARBOLINEO ADISOL,1920004,10029.96,13540.45,12035.95,balde,balde,1.0,100,General,Otros,,,,
CARBOLINEO ADISOL,1920020,40149.96,54202.45,48179.95,tineta,tineta,1.0,100,General,Otros,,,,
AMP W5W 24V 5W W2.1X9.5D CR STD CAJA,192230,157.63,212.80,189.15,unidad,unidad,1.0,100,General,Otros,,,,
"CONTENEDOR PEQUEÑO 5"" - 1""X1"" - 8 BAR",193002,10592.20,14299.47,12710.64,unidad,unidad,1.0,100,General,Otros,,,,
"CARTUCHO P MALLA 5"" - 80 MICRON - PEQUEÑO",193006,3172.64,4283.06,3807.17,unidad,unidad,1.0,100,General,Otros,,,,
"CARTUCHO P HILO PP 5"" - 50 MICRON - PEQUEÑO",193008,1807.20,2439.72,2168.64,unidad,unidad,1.0,100,General,Otros,,,,
"CONTENEDOR MEDIANO 10"" - 1""X1"" - 8 BAR",193020,13132.32,17728.63,15758.78,unidad,unidad,1.0,100,General,Otros,,,,
"CARTUCHO M MALLA 10"" - 80 MICRON - MEDIANO",193024,7058.12,9528.46,8469.74,unidad,unidad,1.0,100,General,Otros,,,,
"CARTUCHO M HILO PP 10"" - 50 MICRON - MEDIANO",193026,2821.24,3808.67,3385.49,unidad,unidad,1.0,100,General,Otros,,,,
FUMIGADOR TIPO MOCHILA 16 L (FUM16) FOY,1960013,30290.68,40892.42,36348.82,uni,uni,1.0,100,General,Otros,,,,
"LAVAPLATOS 80X44 (ESP=0,5) C/DESAG. (B+S) EMP. ECO - P/MMDO, SEC.IZQ.",198432514-T,15527.86,20962.62,18633.44,unid.,unid.,1.0,100,General,Otros,,,,
"LAVAPLATOS 80X50 (ESP=0,5) C/DES. (B+S) SOBREP. ECO - P/COMB., SEC.DER.",198502501-T,11412.47,15406.83,13694.96,unid.,unid.,1.0,100,General,Otros,,,,
"LPLTO.SS 80X50 (ESP=0,5) C/DES. (B+S) SOBREP. ECO - P/COMB., SEC.IZQ.",198502502-T,11412.47,15406.83,13694.96,unid.,unid.,1.0,100,General,Otros,,,,
"LPTO SS 80X50 (ESP=0,5) C/DESAGÜE SOBREP.ECO - P/MM SEC.DER.",198502503-T,11412.47,15406.83,13694.96,unid.,unid.,1.0,100,General,Otros,,,,
"LPTO SS 80X50 (ESP=0,5) C/DESAGÜE SOBREP. ECO - P/MM SEC.IZQ.",198502504-T,11412.47,15406.83,13694.96,unid.,unid.,1.0,100,General,Otros,,,,
CERRAD.SOB/PONER 1995 ECON.NGRA. C/BAND.,199501,37017.48,49973.60,44420.98,unidad,unidad,1.0,100,General,Otros,,,,
PUERTA TERCIADO BATIENTE PINO 60 X 2 MTS,1PLT3P456020LI0N000N,12132.34,16378.65,14558.80,unidad,unidad,1.0,100,General,Otros,,,,
PUERTA TERCIADO BATIENTE PINO 70 X 2 MTS,1PLT3P457020LI0N000N,13163.44,17770.65,15796.13,unidad,unidad,1.0,100,General,Otros,,,,
PUERTA TERCIADO BATIENTE PINO 75 X 2 MTS,1PLT3P457520LI0N000N,15171.44,20481.45,18205.73,unidad,unidad,1.0,100,General,Otros,,,,
PUERTA TERCIADO BATIENTE PINO 80 X 2 MTS,1PLT3P458020LI0N000N,14781.89,19955.55,17738.27,unidad,unidad,1.0,100,General,Otros,,,,
PUERTA TERCIADO BATIENTE PINO 90 X 2 MTS,1PLT3P459020LI0N000N,16915.39,22835.78,20298.47,unidad,unidad,1.0,100,General,Otros,,,,
ESCOBILLA PLASTICA PARA ROPA UN,2-40-650,442.76,597.73,531.32,unidad,unidad,1.0,100,General,Otros,,,,
REGULADOR PARA GAS,2000,6548.09,8839.92,7857.71,unidad,unidad,1.0,100,General,Otros,,,,
PROYECTOR LED SOLAR 40W INTERLIGHT,20000040,20280.80,27379.08,24336.96,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
PROYECTOR LED SOLAR 60W + PANEL INTERLIGHT LUZ FRIA,20000060,30923.20,41746.32,37107.84,unidad,unidad,1.0,100,General,Otros,,,,
CONDENSADOR PERM DUCATI 10MFD 450V,200002,5144.50,6945.07,6173.40,unidad,unidad,1.0,100,General,Otros,,,,
CONDENSADOR PERM DUCATI 16MFD 450V,200005,6740.66,9099.88,8088.79,unidad,unidad,1.0,100,General,Otros,,,,
ELECTRODO 7018-RH 3/32(CAJAS DE 25 KG),2000121,283476.39,382693.12,340171.67,caja,caja,1.0,100,General,Otros,,,,
ELECTRODO 7018-RH 1/8(CAJAS DE 25 KG),2000122,112625.46,152044.37,135150.55,CAJA,CAJA,1.0,100,General,Otros,,,,
ESCOBILLON MUNICIPAL C/MANGO 370MM X 90MM X 130MM,20003,3307.18,4464.69,3968.61,unidad,unidad,1.0,100,General,Otros,,,,
"DESAGUE 1,1/4"" LAVATORIO CON REBALSE Y COLA",20006,1514.03,2043.94,1816.84,unidad,unidad,1.0,100,General,Otros,,,,
ESMALTE SINTETICO PAJARITO BLANCO,20007101,18577.01,25078.97,22292.41,galon,galon,1.0,100,Pinturas,Aplicacion,,,,
ESMALTE SINTETICO PAJARITO BLANCO,20007104,5764.97,7782.71,6917.96,1/4 galon,1/4 galon,1.0,100,Pinturas,Aplicacion,,,,
ESM SINT PAJ BCO (SOQUINA),20007108,2890.52,3902.20,3468.62,1/8 galon,1/8 galon,1.0,100,General,Otros,,,,
ESMALTE SINTETICO PAJARITO BLANCO 200CC,20007116,1525.08,2058.85,1830.09,unidad,unidad,1.0,100,Pinturas,Aplicacion,,,,
"VOLCANBOARD 1,20X2,40 M X 4 MM",2000719,8034.51,10846.59,9641.41,unidad,unidad,1.0,100,General,Otros,,,,
