nombre,codigo_chilemat,codigo_interno,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
SILICONA NEUTRA BLANCA DTV,6011300,CHM-6011300,PEND-6011300,1193.756,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
SILICONA NEUTRA TRANSPARENTE DTV,6012300,CHM-6012300,PEND-6012300,1193.756,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
SILICONA NEUTRA ALUMINIO DTV,6013300,CHM-6013300,PEND-6013300,1193.756,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
UNION AMERICANA CEM 50 MM,60136,CHM-60136,PEND-60136,3217.82,,,unidad,unidad,1.0,0,General,Otros,,,
SILICONA NEUTRA TITANIO DTV,6015300,CHM-6015300,PEND-6015300,1193.756,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
SILICONA NEUTRA NEGRA DTV,6016300,CHM-6016300,PEND-6016300,1193.756,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
BOTON PARTIDA UNV.= IM11038 START,601689,CHM-601689,PEND-601689,635.532,,,unidad,unidad,1.0,0,General,Otros,,,
SILICONA HOJALATERA TAPAGOTERA DTV,6017300,CHM-6017300,PEND-6017300,1280.1,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
"TERMINAL PVC HI CEM 63 X 2""",60183,CHM-60183,PEND-60183,2816.22,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,
ALARMA RETROCESO 9-80V 107DB CON LED,601894,CHM-601894,PEND-601894,8884.396,,,unidad,unidad,1.0,0,General,Otros,,,
"PASTA RETAPELITEPLAST MADERA WENGE, TARRO 250 ML",6020010,CHM-6020010,PEND-6020010,3915.6,,,un,un,1.0,0,General,Otros,,,
"PASTA RETAPELITEPLAST MADERA TEKA, TARRO 250 ML",6020011,CHM-6020011,PEND-6020011,3915.6,,,un,un,1.0,0,General,Otros,,,
SELLADOR ACRILICO BLANCO DTV,6021300,CHM-6021300,PEND-6021300,731.916,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
"SALIDA ESTANQUE CEM 63 X 2""",60217,CHM-60217,PEND-60217,6804.108,,,unidad,unidad,1.0,0,General,Otros,,,
FAROL NEB JGO C/REJILLA CRISTAL H3 180X95MM,602198,CHM-602198,PEND-602198,6504.916,,,unidad,unidad,1.0,0,General,Otros,,,
SELLADOR MONTAJE DTV,6022300,CHM-6022300,PEND-6022300,852.396,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
"BUJE REDUCCION (BUSHING) 1"" X 1/ 2""",60234,CHM-60234,PEND-60234,278.108,,,unidad,unidad,1.0,0,General,Otros,,,
FAROL ISUZU RH 8-94257419-00 DER FT18293D,602440,CHM-602440,PEND-602440,5439.672,,,unidad,unidad,1.0,0,General,Otros,,,
"COLLAR DE ARRANQUE 90 X 1/2""",60245,CHM-60245,PEND-60245,1550.61776,,,unidad,unidad,1.0,0,General,Otros,,,
FAROL ISUZU RL 8-94257420-2 IZQ,602457,CHM-602457,PEND-602457,5439.672,,,unidad,unidad,1.0,0,General,Otros,,,
"COLLAR DE ARRANQUE 90 X 3/4""",60249,CHM-60249,PEND-60249,1550.61776,,,unidad,unidad,1.0,0,General,Otros,,,
COPLA PVC CEM 32 MM,60278,CHM-60278,PEND-60278,189.756,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,
CABLE BATERIA ROJO 1X50MM GOMA 0 CO010MM EX014MM,602983,CHM-602983,PEND-602983,10690.592,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,
SILICONA ACETICA BLANCA DTV,6031280,CHM-6031280,PEND-6031280,1083.316,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
SILICONA ACETICA ALUMINIO DTV,6033280,CHM-6033280,PEND-6033280,1083.316,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
BOCINA T/PLATO 12V 400HZ (H),603744,CHM-603744,PEND-603744,7198.68,,,unidad,unidad,1.0,0,General,Otros,,,
CUBRE VOLANTE NEGRO APLICACION GRIS,603867,CHM-603867,PEND-603867,3123.444,,,unidad,unidad,1.0,0,General,Otros,,,
CUBRE VOLANTE NEGRO CON APLICACIONES ROJAS,603874,CHM-603874,PEND-603874,3357.376,,,unidad,unidad,1.0,0,General,Otros,,,
CUBRE VOLANTE NEGRO C/APLICACIONES AZULES,603898,CHM-603898,PEND-603898,8212.72,,,unidad,unidad,1.0,0,General,Otros,,,
